date,close,open,high,low,volume,change
2020/10/16,24386.79 ,24194.41 ,24456.97 ,24194.41 ,2700000000,0.94%
2020/10/15,24158.54 ,24533.75 ,24573.25 ,24102.21 ,2130000000,-2.06%
2020/10/14,24667.09 ,24808.85 ,24808.85 ,24498.94 ,2550000000,0.28%
2020/10/13,24597.50 ,24614.76 ,24740.24 ,24524.26 ,,-0.21%
2020/10/12,24649.68 ,24217.25 ,24702.81 ,24196.80 ,2430000000,2.20%
2020/10/9,24119.13 ,24343.81 ,24343.81 ,24059.29 ,1360000000,-0.31%
2020/10/8,24193.35 ,24263.33 ,24263.33 ,24021.93 ,1180000000,-0.20%
2020/10/7,24242.86 ,23999.79 ,24243.91 ,23905.42 ,1540000000,1.09%
2020/10/6,23980.65 ,23895.21 ,24005.03 ,23842.25 ,1330000000,0.90%
2020/10/5,23767.78 ,24039.39 ,24039.39 ,23674.52 ,1420000000,1.32%
2020/9/30,23459.05 ,23548.89 ,23780.87 ,23368.49 ,1450000000,0.79%
2020/9/29,23275.53 ,23584.61 ,23601.40 ,23256.92 ,1530000000,-0.85%
2020/9/28,23476.05 ,23284.09 ,23523.81 ,23250.34 ,1450000000,1.04%
2020/9/25,23235.42 ,23425.75 ,23495.26 ,23124.25 ,1790000000,-0.32%
2020/9/24,23311.07 ,23537.83 ,23590.42 ,23225.33 ,1910000000,-1.82%
2020/9/23,23742.51 ,23701.12 ,23795.19 ,23559.99 ,1640000000,0.11%
2020/9/22,23716.85 ,23839.67 ,23908.51 ,23675.62 ,1550000000,-0.98%
2020/9/21,23950.69 ,24483.91 ,24542.55 ,23928.02 ,1600000000,-2.06%
2020/9/18,24455.41 ,24381.13 ,24501.16 ,24295.01 ,2300000000,0.47%
2020/9/17,24340.85 ,24676.41 ,24713.79 ,24250.90 ,1630000000,-1.56%
2020/9/16,24725.63 ,24823.96 ,24829.87 ,24635.24 ,1300000000,-0.03%
2020/9/15,24732.76 ,24621.65 ,24826.87 ,24621.65 ,1730000000,0.38%
2020/9/14,24640.28 ,24569.03 ,24750.95 ,24556.52 ,1090000000,0.56%
2020/9/11,24503.31 ,24352.63 ,24572.66 ,24293.03 ,1310000000,0.78%
2020/9/10,24313.54 ,24584.94 ,24615.60 ,24293.21 ,1350000000,-0.64%
2020/9/9,24468.93 ,24295.42 ,24520.92 ,24213.36 ,1750000000,-0.63%
2020/9/8,24624.34 ,24785.26 ,24785.26 ,24341.32 ,2070000000,0.14%
2020/9/7,24589.65 ,24621.02 ,24908.29 ,24475.61 ,1680000000,-0.43%
2020/9/4,24695.45 ,24668.80 ,24813.96 ,24488.64 ,3390000000,-1.25%
2020/9/3,25007.60 ,25026.99 ,25216.02 ,24854.58 ,2010000000,-0.45%
2020/9/2,25120.09 ,25239.86 ,25239.86 ,24931.17 ,2350000000,-0.26%
2020/9/1,25184.85 ,25085.67 ,25254.14 ,24995.45 ,1730000000,0.03%
2020/8/31,25177.05 ,25732.49 ,25847.11 ,25177.05 ,3200000000,-0.96%
2020/8/28,25422.06 ,25330.77 ,25749.40 ,25258.16 ,2070000000,0.56%
2020/8/27,25281.15 ,25469.77 ,25469.77 ,25186.42 ,1700000000,-0.83%
2020/8/26,25491.79 ,25520.41 ,25603.17 ,25360.03 ,1320000000,0.02%
2020/8/25,25486.22 ,25586.99 ,25621.08 ,25352.26 ,1350000000,-0.26%
2020/8/24,25551.58 ,25352.79 ,25551.58 ,25325.15 ,1350000000,1.74%
2020/8/21,25113.84 ,25007.13 ,25178.79 ,24885.86 ,1210000000,1.30%
2020/8/20,24791.39 ,25055.35 ,25055.35 ,24621.32 ,2000000000,-1.54%
2020/8/19,25178.91 ,25359.03 ,25382.51 ,25079.25 ,1130000000,-0.74%
2020/8/18,25367.38 ,25470.97 ,25470.97 ,25257.88 ,1530000000,0.08%
2020/8/17,25347.34 ,25212.28 ,25588.67 ,25163.29 ,1960000000,0.65%
2020/8/14,25183.01 ,25072.45 ,25378.53 ,25040.55 ,1430000000,-0.19%
